flight_id,flight_on_ground,airline_name,airline_icao,airport_origin_name,airport_origin_icao,airport_destination_name,airport_destination_icao,airport_origin_continent,airport_destination_continent,distance_between_airports,aircraft_model,aircraft_manufacturer
3138f229,0,Private owner,,,,,,,,,Balloon,
3138fe57,0,,,,,,,,,,,
31390324,0,,,,,,,,,,,
313d5581,0,,,,,,,,,,,
313f25bf,0,Private owner,,,,,,,,,Piper PA-25-235,
313ff00c,0,,,,,,,,,,,
31401bd8,1,FedEx,FDX,New York Newark Liberty International Airport,KEWR,Oakland International Airport,KOAK,America,America,4101.687383525058,McDonnell Douglas MD-11F,
31404bdd,1,FedEx,FDX,Taipei Taoyuan International Airport,RCTP,Anchorage Ted Stevens International Airport,PANC,Asia,America,7519.371402104065,Boeing 777-FS2,
31405361,1,IST Airport,,,,,,,,,Airport Ground Vehicle,
